,pm10,pm25,so2,co,o3,no2,categori
391,0.1463414634146342,0.2732919254658385,0.4000000000000001,0.21951219512195122,0.23776223776223776,0.16129032258064518,1
392,0.04878048780487805,0.23602484472049695,0.3875,0.17073170731707318,0.3426573426573427,0.11290322580645165,1
393,0.29268292682926833,0.4161490683229814,0.47500000000000003,0.36585365853658536,0.2867132867132867,0.32258064516129037,1
394,0.23780487804878048,0.3478260869565218,0.35,0.2682926829268293,0.35664335664335667,0.2419354838709678,1
395,0.17073170731707316,0.2981366459627329,0.37500000000000006,0.19512195121951223,0.19580419580419578,0.1935483870967742,1
396,0.09146341463414634,0.2422360248447205,0.3875,0.17073170731707318,0.2447552447552448,0.08064516129032259,1
397,0.1463414634146342,0.2732919254658385,0.4000000000000001,0.19512195121951223,0.2237762237762238,0.1774193548387097,1
398,0.23170731707317072,0.3167701863354037,0.37500000000000006,0.19512195121951223,0.2867132867132867,0.3548387096774193,1
399,0.17682926829268292,0.2981366459627329,0.4000000000000001,0.17073170731707318,0.2937062937062937,0.2580645161290323,1
400,0.23780487804878048,0.36645962732919257,0.49999999999999994,0.24390243902439027,0.3636363636363637,0.30645161290322587,1
401,0.32926829268292684,0.49689440993788814,0.6125,0.4390243902439025,0.32167832167832167,0.32258064516129037,1
402,0.3353658536585366,0.4285714285714286,0.7625,0.29268292682926833,0.3916083916083916,0.2903225806451613,1
403,0.3048780487804878,0.422360248447205,0.6625000000000001,0.3414634146341463,0.3986013986013986,0.30645161290322587,1
404,0.3170731707317073,0.44720496894409945,0.6625000000000001,0.46341463414634143,0.2937062937062937,0.5,1
405,0.32926829268292684,0.5031055900621118,0.6625000000000001,0.36585365853658536,0.2937062937062937,0.4032258064516129,1
406,0.3719512195121952,0.5465838509316772,0.675,0.3414634146341463,0.2937062937062937,0.30645161290322587,0
407,0.29268292682926833,0.49068322981366475,0.625,0.21951219512195122,0.3636363636363637,0.1774193548387097,1
408,0.36585365853658536,0.5465838509316772,0.6125,0.3170731707317074,0.3986013986013986,0.27419354838709675,0
409,0.4451219512195122,0.6335403726708074,0.7374999999999999,0.36585365853658536,0.45454545454545464,0.3548387096774193,0
410,0.35975609756097565,0.5465838509316772,0.6625000000000001,0.3170731707317074,0.3496503496503497,0.27419354838709675,0
411,0.2987804878048781,0.45962732919254656,0.625,0.19512195121951223,0.35664335664335667,0.1774193548387097,1
412,0.35975609756097565,0.5217391304347826,0.6125,0.21951219512195122,0.3986013986013986,0.22580645161290325,1
413,0.2804878048780488,0.422360248447205,0.6125,0.2682926829268293,0.33566433566433573,0.2419354838709678,1
414,0.32926829268292684,0.44720496894409945,0.725,0.3170731707317074,0.2517482517482517,0.370967741935484,1
415,0.34146341463414637,0.48447204968944113,0.6875,0.29268292682926833,0.32867132867132876,0.2903225806451613,1
416,0.07926829268292684,0.2422360248447205,0.30000000000000004,0.07317073170731708,0.1888111888111888,0.06451612903225809,1
417,0.2195121951219512,0.35403726708074534,0.3875,0.14634146341463414,0.20279720279720276,0.11290322580645165,1
418,0.12195121951219515,0.23602484472049695,0.37500000000000006,0.02439024390243902,0.18181818181818182,0.03225806451612906,1
